,Unnamed: 0,Client ID,Client tenure year,Client tenure month,Client age,Gender,Number of accounts,Balance,Calls in the last 6 months,Log ons in the last 6 months,Variation,confirm,start,step_1,step_2,step_3,visit_duration
0,0,836976,6.0,73.0,60.0,U,2.0,45105.3,6.0,9.0,Test,3,5,1,1,1,30
1,1,2304905,7.0,94.0,58.0,U,2.0,110860.3,6.0,9.0,Control,1,2,1,1,1,5
2,2,1439522,5.0,64.0,32.0,U,2.0,52467.79,6.0,9.0,Test,0,2,1,1,1,2
5,5,3727881,5.0,71.0,30.0,U,2.0,23915.6,0.0,3.0,Control,1,1,1,2,2,6
6,6,272934,5.0,66.0,58.0,U,2.0,27021.42,2.0,5.0,Control,1,1,1,1,1,4
7,7,388801,30.0,361.0,58.0,M,5.0,522498.72,1.0,4.0,Test,1,1,1,1,1,10
8,8,285619,30.0,369.0,68.0,M,2.0,299388.72,3.0,6.0,Control,1,1,1,3,3,5
9,9,8198645,15.0,189.0,54.0,F,2.0,382303.83,6.0,9.0,Test,1,1,1,1,1,10
10,10,8368822,8.0,100.0,34.0,U,2.0,75578.54,0.0,3.0,Control,1,1,1,1,1,2
11,11,2537139,8.0,99.0,52.0,U,2.0,135940.68,6.0,9.0,Control,1,1,1,1,1,3
12,12,2208717,5.0,67.0,33.0,U,2.0,29782.96,6.0,9.0,Test,1,2,2,1,1,7
13,13,2214073,16.0,193.0,62.0,M,3.0,136818.03,6.0,9.0,Test,2,1,1,1,1,40
14,14,2368987,5.0,71.0,54.0,U,2.0,44408.87,2.0,5.0,Control,1,1,1,1,4,43
15,15,2892152,4.0,58.0,36.0,U,2.0,46815.48,5.0,8.0,Test,1,4,2,2,1,7
16,16,4536541,3.0,47.0,74.0,U,2.0,47804.5,1.0,4.0,Test,0,2,2,2,1,5
17,17,3788589,10.0,122.0,32.0,M,2.0,30750.76,0.0,3.0,Control,1,1,1,1,1,11
18,18,719792,11.0,136.0,31.0,F,2.0,111736.78,5.0,8.0,Test,2,1,1,1,1,4
